"Index Name","Date","Open","High","Low","Close"
"NIFTY 100","22 Feb 2013","5748.85","5786.25","5743.40","5762.35"
"NIFTY 100","21 Feb 2013","5826.85","5826.85","5754.55","5760.90"
"NIFTY 100","20 Feb 2013","5876.30","5881.65","5849.95","5855.30"
"NIFTY 100","19 Feb 2013","5812.70","5861.30","5797.15","5853.85"
"NIFTY 100","18 Feb 2013","5799.25","5822.75","5794.40","5810.95"
"NIFTY 100","15 Feb 2013","5781.15","5810.15","5761.95","5798.10"
"NIFTY 100","14 Feb 2013","5846.60","5853.10","5792.50","5804.05"
"NIFTY 100","13 Feb 2013","5861.45","5889.10","5837.90","5846.50"
"NIFTY 100","12 Feb 2013","5818.05","5848.35","5806.40","5844.05"
"NIFTY 100","11 Feb 2013","5840.35","5841.95","5805.05","5821.00"
"NIFTY 100","08 Feb 2013","5853.85","5875.95","5807.90","5826.25"
"NIFTY 100","07 Feb 2013","5866.45","5905.90","5851.55","5861.90"
"NIFTY 100","06 Feb 2013","5906.50","5913.10","5880.75","5885.80"
"NIFTY 100","05 Feb 2013","5876.75","5892.90","5868.20","5880.05"
"NIFTY 100","04 Feb 2013","5945.70","5961.00","5904.40","5909.65"
"NIFTY 100","01 Feb 2013","5956.25","5973.70","5913.90","5923.45"
"NIFTY 100","31 Jan 2013","5952.85","5968.00","5939.20","5950.95"
"NIFTY 100","30 Jan 2013","5970.60","5981.95","5951.00","5961.45"
"NIFTY 100","29 Jan 2013","5977.00","6020.10","5951.15","5957.75"
"NIFTY 100","28 Jan 2013","5990.35","5999.60","5971.35","5985.40"
"NIFTY 100","25 Jan 2013","5928.15","5988.65","5917.95","5984.00"
"NIFTY 100","24 Jan 2013","5961.10","5976.45","5916.65","5923.70"
"NIFTY 100","23 Jan 2013","5971.40","5989.50","5932.80","5968.40"
"NIFTY 100","22 Jan 2013","6003.45","6025.05","5960.90","5967.50"
"NIFTY 100","21 Jan 2013","6005.90","6014.00","5988.90","6005.10"
"NIFTY 100","18 Jan 2013","5987.95","6008.70","5973.20","5988.00"
"NIFTY 100","17 Jan 2013","5937.90","5984.95","5929.35","5970.65"
"NIFTY 100","16 Jan 2013","5990.50","5998.05","5929.60","5938.40"
"NIFTY 100","15 Jan 2013","5978.40","6008.35","5960.75","5996.85"
"NIFTY 100","14 Jan 2013","5906.00","5978.25","5899.20","5966.90"
"NIFTY 100","11 Jan 2013","5955.60","5960.00","5882.60","5892.70"
"NIFTY 100","10 Jan 2013","5946.10","5956.15","5896.65","5918.85"
"NIFTY 100","09 Jan 2013","5953.90","5971.65","5910.85","5922.85"
"NIFTY 100","08 Jan 2013","5935.10","5954.20","5914.70","5949.90"
"NIFTY 100","07 Jan 2013","5983.25","5983.25","5928.55","5939.25"
"NIFTY 100","04 Jan 2013","5958.65","5965.40","5927.85","5961.25"
"NIFTY 100","03 Jan 2013","5957.40","5962.00","5931.60","5956.55"
"NIFTY 100","02 Jan 2013","5923.95","5952.30","5923.95","5938.20"
"NIFTY 100","01 Jan 2013","5875.15","5908.00","5875.15","5896.90"
"NIFTY 100","31 Dec 2012","5839.70","5856.40","5839.55","5847.50"
"NIFTY 100","28 Dec 2012","5821.50","5852.50","5816.25","5845.70"
"NIFTY 100","27 Dec 2012","5860.65","5862.60","5802.00","5806.85"
"NIFTY 100","26 Dec 2012","5801.10","5850.40","5798.40","5839.75"
"NIFTY 100","24 Dec 2012","5803.15","5808.50","5783.35","5793.20"
"NIFTY 100","21 Dec 2012","5830.65","5830.65","5779.85","5785.30"
"NIFTY 100","20 Dec 2012","5868.50","5868.50","5818.00","5854.80"
"NIFTY 100","19 Dec 2012","5848.70","5871.85","5846.85","5864.80"
"NIFTY 100","18 Dec 2012","5799.35","5837.70","5753.30","5830.95"
"NIFTY 100","17 Dec 2012","5783.60","5809.05","5777.75","5786.20"
"NIFTY 100","14 Dec 2012","5765.65","5803.75","5758.05","5799.55"
"NIFTY 100","13 Dec 2012","5818.70","5825.75","5759.80","5769.50"
"NIFTY 100","12 Dec 2012","5832.65","5841.65","5794.00","5808.15"
"NIFTY 100","11 Dec 2012","5841.95","5880.95","5781.50","5816.45"
"NIFTY 100","10 Dec 2012","5832.05","5838.80","5809.00","5829.15"
"NIFTY 100","07 Dec 2012","5851.55","5868.10","5806.95","5824.45"
"NIFTY 100","06 Dec 2012","5838.10","5858.50","5761.85","5848.65"
"NIFTY 100","05 Dec 2012","5820.25","5833.70","5808.40","5816.30"
"NIFTY 100","04 Dec 2012","5782.25","5810.80","5774.75","5805.25"
"NIFTY 100","03 Dec 2012","5785.05","5806.45","5768.60","5785.65"
"NIFTY 100","30 Nov 2012","5744.10","5790.35","5736.90","5786.15"
"NIFTY 100","29 Nov 2012","5652.40","5740.60","5652.40","5734.55"
"NIFTY 100","27 Nov 2012","5573.35","5649.20","5573.35","5644.35"
"NIFTY 100","26 Nov 2012","5553.35","5563.10","5541.35","5554.25"
"NIFTY 100","23 Nov 2012","5538.75","5543.75","5502.25","5534.80"
"NIFTY 100","22 Nov 2012","5527.45","5545.10","5510.50","5532.20"
"NIFTY 100","21 Nov 2012","5485.05","5520.20","5465.30","5515.70"
"NIFTY 100","20 Nov 2012","5507.75","5519.05","5452.50","5475.65"
"NIFTY 100","19 Nov 2012","5492.80","5508.05","5459.15","5479.30"
"NIFTY 100","16 Nov 2012","5541.40","5566.70","5477.20","5489.95"
"NIFTY 100","15 Nov 2012","5561.30","5561.30","5519.30","5546.70"
"NIFTY 100","13 Nov 2012","5594.35","5599.10","5569.15","5575.55"
"NIFTY 100","12 Nov 2012","5579.75","5610.45","5568.10","5589.20"
"NIFTY 100","09 Nov 2012","5621.35","5643.95","5570.45","5577.95"
"NIFTY 100","08 Nov 2012","5601.60","5633.15","5592.20","5627.80"
"NIFTY 100","07 Nov 2012","5600.55","5660.25","5596.15","5644.95"
"NIFTY 100","06 Nov 2012","5577.35","5610.80","5577.35","5605.25"
"NIFTY 100","05 Nov 2012","5577.70","5593.10","5562.80","5586.10"
"NIFTY 100","02 Nov 2012","5575.15","5594.90","5568.90","5581.80"
"NIFTY 100","01 Nov 2012","5495.00","5536.35","5491.30","5531.60"
"NIFTY 100","31 Oct 2012","5475.10","5507.55","5465.10","5503.20"
"NIFTY 100","30 Oct 2012","5531.45","5563.40","5468.65","5476.15"
"NIFTY 100","29 Oct 2012","5543.90","5573.70","5519.35","5539.25"
"NIFTY 100","26 Oct 2012","5569.10","5582.25","5522.65","5543.15"
"NIFTY 100","25 Oct 2012","5574.50","5598.15","5570.65","5587.85"
