"Index Name","Date","Open","High","Low","Close"
"NIFTY LARGEMIDCAP 250","23 Feb 2024","14040.65","14059.40","13989.30","14014.50"
"NIFTY LARGEMIDCAP 250","22 Feb 2024","13919.00","14001.05","13783.25","13985.90"
"NIFTY LARGEMIDCAP 250","21 Feb 2024","14037.95","14045.00","13841.15","13875.70"
"NIFTY LARGEMIDCAP 250","20 Feb 2024","13989.15","14004.10","13942.20","13995.15"
"NIFTY LARGEMIDCAP 250","19 Feb 2024","13994.70","14028.55","13947.45","13986.10"
"NIFTY LARGEMIDCAP 250","16 Feb 2024","13900.70","13946.45","13871.20","13929.30"
"NIFTY LARGEMIDCAP 250","15 Feb 2024","13809.95","13851.30","13777.35","13833.45"
"NIFTY LARGEMIDCAP 250","14 Feb 2024","13519.10","13764.05","13482.20","13739.70"
"NIFTY LARGEMIDCAP 250","13 Feb 2024","13603.15","13651.90","13436.90","13640.45"
"NIFTY LARGEMIDCAP 250","12 Feb 2024","13851.40","13855.95","13546.90","13578.30"
"NIFTY LARGEMIDCAP 250","09 Feb 2024","13879.20","13884.60","13636.35","13809.40"
"NIFTY LARGEMIDCAP 250","08 Feb 2024","14005.30","14006.85","13832.30","13857.85"
"NIFTY LARGEMIDCAP 250","07 Feb 2024","13944.75","13957.75","13843.05","13923.05"
"NIFTY LARGEMIDCAP 250","06 Feb 2024","13769.35","13863.45","13698.50","13856.00"
"NIFTY LARGEMIDCAP 250","05 Feb 2024","13795.85","13844.95","13686.10","13717.10"
"NIFTY LARGEMIDCAP 250","02 Feb 2024","13727.55","13854.30","13720.90","13743.85"
"NIFTY LARGEMIDCAP 250","01 Feb 2024","13745.80","13746.20","13599.95","13659.95"
"NIFTY LARGEMIDCAP 250","31 Jan 2024","13537.05","13710.35","13521.35","13703.45"
"NIFTY LARGEMIDCAP 250","30 Jan 2024","13664.60","13684.05","13522.45","13532.40"
"NIFTY LARGEMIDCAP 250","29 Jan 2024","13458.10","13626.90","13454.05","13616.30"
"NIFTY LARGEMIDCAP 250","25 Jan 2024","13483.65","13484.40","13338.20","13402.05"
"NIFTY LARGEMIDCAP 250","24 Jan 2024","13274.70","13473.15","13170.10","13458.25"
"NIFTY LARGEMIDCAP 250","23 Jan 2024","13688.75","13693.65","13224.80","13271.55"
