"Index Name","Date","Open","High","Low","Close"
"NIFTY MIDCAP 150","22 Feb 2013","-","-","-","2516.47"
"NIFTY MIDCAP 150","21 Feb 2013","-","-","-","2515.86"
"NIFTY MIDCAP 150","20 Feb 2013","-","-","-","2554.00"
"NIFTY MIDCAP 150","19 Feb 2013","-","-","-","2554.79"
"NIFTY MIDCAP 150","18 Feb 2013","-","-","-","2524.73"
"NIFTY MIDCAP 150","15 Feb 2013","-","-","-","2514.30"
"NIFTY MIDCAP 150","14 Feb 2013","-","-","-","2506.58"
"NIFTY MIDCAP 150","13 Feb 2013","-","-","-","2538.38"
"NIFTY MIDCAP 150","12 Feb 2013","-","-","-","2550.73"
"NIFTY MIDCAP 150","11 Feb 2013","-","-","-","2554.51"
"NIFTY MIDCAP 150","08 Feb 2013","-","-","-","2555.40"
"NIFTY MIDCAP 150","07 Feb 2013","-","-","-","2570.94"
"NIFTY MIDCAP 150","06 Feb 2013","-","-","-","2587.57"
"NIFTY MIDCAP 150","05 Feb 2013","-","-","-","2585.29"
"NIFTY MIDCAP 150","04 Feb 2013","-","-","-","2603.02"
"NIFTY MIDCAP 150","01 Feb 2013","-","-","-","2622.36"
"NIFTY MIDCAP 150","31 Jan 2013","-","-","-","2617.02"
"NIFTY MIDCAP 150","30 Jan 2013","-","-","-","2600.85"
"NIFTY MIDCAP 150","29 Jan 2013","-","-","-","2603.34"
"NIFTY MIDCAP 150","28 Jan 2013","-","-","-","2618.02"
"NIFTY MIDCAP 150","25 Jan 2013","-","-","-","2615.41"
"NIFTY MIDCAP 150","24 Jan 2013","-","-","-","2568.76"
"NIFTY MIDCAP 150","23 Jan 2013","-","-","-","2628.62"
"NIFTY MIDCAP 150","22 Jan 2013","-","-","-","2648.65"
"NIFTY MIDCAP 150","21 Jan 2013","-","-","-","2673.23"
"NIFTY MIDCAP 150","18 Jan 2013","-","-","-","2675.45"
"NIFTY MIDCAP 150","17 Jan 2013","-","-","-","2679.49"
"NIFTY MIDCAP 150","16 Jan 2013","-","-","-","2677.38"
"NIFTY MIDCAP 150","15 Jan 2013","-","-","-","2710.10"
"NIFTY MIDCAP 150","14 Jan 2013","-","-","-","2706.57"
"NIFTY MIDCAP 150","11 Jan 2013","-","-","-","2678.21"
"NIFTY MIDCAP 150","10 Jan 2013","-","-","-","2718.96"
"NIFTY MIDCAP 150","09 Jan 2013","-","-","-","2731.76"
"NIFTY MIDCAP 150","08 Jan 2013","-","-","-","2743.00"
"NIFTY MIDCAP 150","07 Jan 2013","-","-","-","2740.84"
"NIFTY MIDCAP 150","04 Jan 2013","-","-","-","2740.82"
"NIFTY MIDCAP 150","03 Jan 2013","-","-","-","2729.83"
"NIFTY MIDCAP 150","02 Jan 2013","-","-","-","2713.04"
"NIFTY MIDCAP 150","01 Jan 2013","-","-","-","2700.03"
"NIFTY MIDCAP 150","31 Dec 2012","-","-","-","2668.25"
"NIFTY MIDCAP 150","28 Dec 2012","-","-","-","2658.06"
"NIFTY MIDCAP 150","27 Dec 2012","-","-","-","2636.45"
"NIFTY MIDCAP 150","26 Dec 2012","-","-","-","2647.41"
"NIFTY MIDCAP 150","24 Dec 2012","-","-","-","2628.61"
"NIFTY MIDCAP 150","21 Dec 2012","-","-","-","2620.39"
"NIFTY MIDCAP 150","20 Dec 2012","-","-","-","2658.49"
"NIFTY MIDCAP 150","19 Dec 2012","-","-","-","2662.87"
"NIFTY MIDCAP 150","18 Dec 2012","-","-","-","2645.15"
"NIFTY MIDCAP 150","17 Dec 2012","-","-","-","2629.66"
"NIFTY MIDCAP 150","14 Dec 2012","-","-","-","2623.41"
"NIFTY MIDCAP 150","13 Dec 2012","-","-","-","2604.10"
"NIFTY MIDCAP 150","12 Dec 2012","-","-","-","2632.66"
