"Index Name","Date","Open","High","Low","Close"
"NIFTY500 MULTICAP 50:25:25","20 Feb 2026","16011.25","16140.95","15980.05","16093.65"
"NIFTY500 MULTICAP 50:25:25","19 Feb 2026","16309.9","16317.25","15998.7","16042.40"
"NIFTY500 MULTICAP 50:25:25","18 Feb 2026","16224.8","16285.55","16175.25","16275.80"
"NIFTY500 MULTICAP 50:25:25","17 Feb 2026","16126.9","16213.3","16090.95","16199.60"
"NIFTY500 MULTICAP 50:25:25","16 Feb 2026","16004.3","16150.9","15959.05","16140.35"
"NIFTY500 MULTICAP 50:25:25","13 Feb 2026","16162.85","16164.55","16024.55","16056.10"
"NIFTY500 MULTICAP 50:25:25","12 Feb 2026","16376.85","16376.95","16257.55","16298.75"
"NIFTY500 MULTICAP 50:25:25","11 Feb 2026","16410.85","16411.6","16330.25","16393.60"
"NIFTY500 MULTICAP 50:25:25","10 Feb 2026","16373.55","16404.8","16328.4","16375.25"
"NIFTY500 MULTICAP 50:25:25","09 Feb 2026","16211.05","16326.15","16171.6","16319.25"
"NIFTY500 MULTICAP 50:25:25","06 Feb 2026","16060.9","16107.25","15935.35","16096.65"
"NIFTY500 MULTICAP 50:25:25","05 Feb 2026","16172.8","16172.8","16034.6","16095.85"
"NIFTY500 MULTICAP 50:25:25","04 Feb 2026","16095.85","16207.7","16008","16191.20"
"NIFTY500 MULTICAP 50:25:25","03 Feb 2026","16385.05","16415.5","16051.2","16115.20"
"NIFTY500 MULTICAP 50:25:25","02 Feb 2026","15529.7","15714.85","15374.35","15684.75"
"NIFTY500 MULTICAP 50:25:25","01 Feb 2026","15852.8","15909.5","15345.95","15541.85"
"NIFTY500 MULTICAP 50:25:25","30 Jan 2026","15779.1","15882.25","15710.9","15868.90"
"NIFTY500 MULTICAP 50:25:25","29 Jan 2026","15873.25","15885.25","15735.05","15871.65"
"NIFTY500 MULTICAP 50:25:25","28 Jan 2026","15694.95","15861.25","15687.9","15845.70"
"NIFTY500 MULTICAP 50:25:25","27 Jan 2026","15603.9","15686.4","15444.35","15636.40"
"NIFTY500 MULTICAP 50:25:25","23 Jan 2026","15847.55","15848.45","15548.5","15566.45"
"NIFTY500 MULTICAP 50:25:25","22 Jan 2026","15795.1","15894.85","15707.2","15799.05"
"NIFTY500 MULTICAP 50:25:25","21 Jan 2026","15704.95","15779.55","15487.65","15667.75"
"NIFTY500 MULTICAP 50:25:25","20 Jan 2026","16085.35","16086.55","15720.8","15761.05"
"NIFTY500 MULTICAP 50:25:25","19 Jan 2026","16153.3","16157.85","16066.05","16091.50"
"NIFTY500 MULTICAP 50:25:25","16 Jan 2026","16212.45","16305","16167.7","16186.55"
"NIFTY500 MULTICAP 50:25:25","14 Jan 2026","16143.25","16241.7","16126.15","16194.65"
"NIFTY500 MULTICAP 50:25:25","13 Jan 2026","16242.4","16274.9","16074.05","16179.15"
"NIFTY500 MULTICAP 50:25:25","12 Jan 2026","16171.75","16194.95","15959.05","16177.80"
"NIFTY500 MULTICAP 50:25:25","09 Jan 2026","16325.65","16383.05","16140.1","16179.10"
"NIFTY500 MULTICAP 50:25:25","08 Jan 2026","16597.95","16605.3","16331","16348.95"
"NIFTY500 MULTICAP 50:25:25","07 Jan 2026","16584.95","16626.7","16553.7","16607.10"
"NIFTY500 MULTICAP 50:25:25","06 Jan 2026","16631.6","16650.8","16540.2","16591.60"
"NIFTY500 MULTICAP 50:25:25","05 Jan 2026","16664.4","16681.75","16582.15","16628.00"
"NIFTY500 MULTICAP 50:25:25","02 Jan 2026","16531.6","16647.55","16520.15","16641.30"
"NIFTY500 MULTICAP 50:25:25","01 Jan 2026","16514.4","16520.15","16446","16508.50"
"NIFTY500 MULTICAP 50:25:25","31 Dec 2025","16366.5","16522.35","16366","16485.10"
"NIFTY500 MULTICAP 50:25:25","30 Dec 2025","16342.45","16359.4","16280.65","16333.85"
"NIFTY500 MULTICAP 50:25:25","29 Dec 2025","16439.85","16453.9","16327.7","16349.45"
"NIFTY500 MULTICAP 50:25:25","26 Dec 2025","16463.8","16496.7","16404.85","16420.35"
"NIFTY500 MULTICAP 50:25:25","24 Dec 2025","16503.95","16541.7","16455.25","16464.90"
"NIFTY500 MULTICAP 50:25:25","23 Dec 2025","16495.95","16511.4","16439.3","16494.70"
"NIFTY500 MULTICAP 50:25:25","22 Dec 2025","16390.85","16477.45","16376.25","16467.50"
"NIFTY500 MULTICAP 50:25:25","19 Dec 2025","16227.2","16340.5","16218.6","16331.60"
"NIFTY500 MULTICAP 50:25:25","18 Dec 2025","16172.6","16216.5","16075.45","16181.95"
"NIFTY500 MULTICAP 50:25:25","17 Dec 2025","16265.15","16292.4","16151.45","16183.20"
"NIFTY500 MULTICAP 50:25:25","16 Dec 2025","16334","16339.15","16228.9","16249.70"
"NIFTY500 MULTICAP 50:25:25","15 Dec 2025","16316.3","16369.9","16265.6","16362.15"
"NIFTY500 MULTICAP 50:25:25","12 Dec 2025","16272.05","16362.45","16266.5","16354.30"
"NIFTY500 MULTICAP 50:25:25","11 Dec 2025","16129.85","16231","16072.85","16222.70"
"NIFTY500 MULTICAP 50:25:25","10 Dec 2025","16227.15","16290.75","16102.55","16120.95"
"NIFTY500 MULTICAP 50:25:25","09 Dec 2025","16129.95","16223.85","15977","16210.90"
"NIFTY500 MULTICAP 50:25:25","08 Dec 2025","16423.65","16428.6","16133","16181.55"
"NIFTY500 MULTICAP 50:25:25","05 Dec 2025","16378.25","16438.8","16324.7","16429.20"
"NIFTY500 MULTICAP 50:25:25","04 Dec 2025","16386.45","16452.45","16353.25","16389.80"
"NIFTY500 MULTICAP 50:25:25","03 Dec 2025","16465.4","16480.65","16333.05","16385.00"
"NIFTY500 MULTICAP 50:25:25","02 Dec 2025","16506.2","16537.15","16437.6","16466.75"
"NIFTY500 MULTICAP 50:25:25","01 Dec 2025","16600.15","16605.4","16498.1","16532.35"
"NIFTY500 MULTICAP 50:25:25","28 Nov 2025","16565.85","16572.1","16516.5","16533.40"
"NIFTY500 MULTICAP 50:25:25","27 Nov 2025","16604.55","16610.7","16502.8","16548.90"
"NIFTY500 MULTICAP 50:25:25","26 Nov 2025","16369.15","16569.6","16369.15","16562.45"
"NIFTY500 MULTICAP 50:25:25","25 Nov 2025","16374.2","16408.05","16332.6","16357.15"
"NIFTY500 MULTICAP 50:25:25","24 Nov 2025","16462.75","16468.05","16339.8","16358.85"
"NIFTY500 MULTICAP 50:25:25","21 Nov 2025","16553.55","16556.5","16428.95","16440.05"
"NIFTY500 MULTICAP 50:25:25","20 Nov 2025","16613.75","16627.5","16566.4","16588.70"
"NIFTY500 MULTICAP 50:25:25","19 Nov 2025","16528.9","16571.1","16478.75","16558.05"
"NIFTY500 MULTICAP 50:25:25","18 Nov 2025","16642.45","16642.9","16510.9","16523.50"
"NIFTY500 MULTICAP 50:25:25","17 Nov 2025","16579.8","16635.25","16564.5","16628.80"
"NIFTY500 MULTICAP 50:25:25","14 Nov 2025","16486.2","16551.55","16466.7","16538.00"
"NIFTY500 MULTICAP 50:25:25","13 Nov 2025","16573.15","16609.05","16513.65","16522.15"
"NIFTY500 MULTICAP 50:25:25","12 Nov 2025","16513.9","16570.9","16499.35","16550.20"
"NIFTY500 MULTICAP 50:25:25","11 Nov 2025","16418.35","16443.35","16311.5","16438.40"
"NIFTY500 MULTICAP 50:25:25","10 Nov 2025","16365.2","16429.2","16355.55","16391.70"
"NIFTY500 MULTICAP 50:25:25","07 Nov 2025","16287","16378.35","16169.95","16345.90"
"NIFTY500 MULTICAP 50:25:25","06 Nov 2025","16489.05","16498.2","16328.95","16339.65"
"NIFTY500 MULTICAP 50:25:25","04 Nov 2025","16581.65","16587.3","16469.5","16481.15"
"NIFTY500 MULTICAP 50:25:25","03 Nov 2025","16496.1","16592.5","16495.55","16573.85"
"NIFTY500 MULTICAP 50:25:25","31 Oct 2025","16590.8","16631.8","16480.15","16489.45"
"NIFTY500 MULTICAP 50:25:25","30 Oct 2025","16638","16643.1","16548","16579.70"
"NIFTY500 MULTICAP 50:25:25","29 Oct 2025","16571.15","16652.1","16540.45","16639.65"
"NIFTY500 MULTICAP 50:25:25","28 Oct 2025","16568.85","16607.95","16485.25","16546.75"
"NIFTY500 MULTICAP 50:25:25","27 Oct 2025","16490.25","16564.85","16475.9","16558.15"
"NIFTY500 MULTICAP 50:25:25","24 Oct 2025","16519.35","16529.5","16404.8","16448.45"
"NIFTY500 MULTICAP 50:25:25","23 Oct 2025","16589.7","16598.55","16472.15","16491.30"
"NIFTY500 MULTICAP 50:25:25","21 Oct 2025","16516.3","16539.2","16479.3","16502.55"
"NIFTY500 MULTICAP 50:25:25","20 Oct 2025","16439.7","16479.95","16402.6","16457.40"
"NIFTY500 MULTICAP 50:25:25","17 Oct 2025","16365.95","16433.1","16323","16371.70"
"NIFTY500 MULTICAP 50:25:25","16 Oct 2025","16307.1","16390","16294.35","16371.90"
"NIFTY500 MULTICAP 50:25:25","15 Oct 2025","16156.8","16270.9","16153","16260.00"
"NIFTY500 MULTICAP 50:25:25","14 Oct 2025","16257.75","16275.2","16084.85","16124.20"
"NIFTY500 MULTICAP 50:25:25","13 Oct 2025","16183.25","16226.9","16146.95","16216.80"
"NIFTY500 MULTICAP 50:25:25","10 Oct 2025","16183.5","16269.45","16158.1","16245.85"
"NIFTY500 MULTICAP 50:25:25","09 Oct 2025","16110.75","16180","16076.25","16173.50"
"NIFTY500 MULTICAP 50:25:25","08 Oct 2025","16160.65","16201.9","16069.8","16084.15"
"NIFTY500 MULTICAP 50:25:25","07 Oct 2025","16152.9","16204.15","16132.65","16162.65"
"NIFTY500 MULTICAP 50:25:25","06 Oct 2025","16070.9","16138.45","16030.85","16132.50"
"NIFTY500 MULTICAP 50:25:25","03 Oct 2025","15956.95","16054.4","15935.1","16046.90"
"NIFTY500 MULTICAP 50:25:25","01 Oct 2025","15828.25","15967.9","15807.7","15957.95"
"NIFTY500 MULTICAP 50:25:25","30 Sep 2025","15853.4","15877.35","15755.4","15817.00"
"NIFTY500 MULTICAP 50:25:25","29 Sep 2025","15849.45","15912.55","15768.4","15813.45"
"NIFTY500 MULTICAP 50:25:25","26 Sep 2025","16009.75","16025.35","15784.85","15798.90"
"NIFTY500 MULTICAP 50:25:25","25 Sep 2025","16154.9","16205.55","16039","16048.65"
"NIFTY500 MULTICAP 50:25:25","24 Sep 2025","16248.05","16262.45","16149.85","16156.75"
"NIFTY500 MULTICAP 50:25:25","23 Sep 2025","16331.6","16346.6","16213.1","16261.55"
"NIFTY500 MULTICAP 50:25:25","22 Sep 2025","16370.15","16424.15","16278.85","16309.80"
"NIFTY500 MULTICAP 50:25:25","19 Sep 2025","16421.65","16427.8","16375.75","16399.05"
"NIFTY500 MULTICAP 50:25:25","18 Sep 2025","16426.05","16428.35","16350.6","16410.70"
"NIFTY500 MULTICAP 50:25:25","17 Sep 2025","16351.4","16381.9","16330.7","16366.65"
"NIFTY500 MULTICAP 50:25:25","16 Sep 2025","16226.3","16322.1","16200.8","16311.10"
"NIFTY500 MULTICAP 50:25:25","15 Sep 2025","16184.8","16221.7","16160.8","16202.55"
"NIFTY500 MULTICAP 50:25:25","12 Sep 2025","16155.9","16176.5","16120.7","16163.75"
"NIFTY500 MULTICAP 50:25:25","11 Sep 2025","16100.5","16138.65","16089.7","16106.35"
"NIFTY500 MULTICAP 50:25:25","10 Sep 2025","16068.05","16123.8","16062.45","16091.85"
"NIFTY500 MULTICAP 50:25:25","09 Sep 2025","15994.3","16003.95","15948.9","15993.60"
"NIFTY500 MULTICAP 50:25:25","08 Sep 2025","15957.55","16010.45","15909.55","15947.85"
"NIFTY500 MULTICAP 50:25:25","05 Sep 2025","15946.2","15983.35","15836.8","15911.15"
"NIFTY500 MULTICAP 50:25:25","04 Sep 2025","16124.9","16124.9","15881.45","15898.60"
