"Index Name","Date","Open","High","Low","Close"
"NIFTY 500","22 Feb 2013","4613.75","4640.45","4607.90","4621.80"
"NIFTY 500","21 Feb 2013","4679.40","4679.40","4617.20","4621.75"
"NIFTY 500","20 Feb 2013","4712.00","4718.10","4696.00","4698.35"
"NIFTY 500","19 Feb 2013","4660.75","4701.75","4652.10","4697.10"
"NIFTY 500","18 Feb 2013","4647.95","4669.00","4646.55","4659.60"
"NIFTY 500","15 Feb 2013","4634.80","4653.85","4616.90","4647.25"
"NIFTY 500","14 Feb 2013","4688.50","4693.00","4642.30","4650.35"
"NIFTY 500","13 Feb 2013","4701.85","4726.50","4682.90","4688.45"
"NIFTY 500","12 Feb 2013","4675.90","4693.20","4659.85","4690.30"
"NIFTY 500","11 Feb 2013","4691.85","4692.25","4668.80","4677.85"
"NIFTY 500","08 Feb 2013","4707.90","4721.00","4668.90","4682.55"
"NIFTY 500","07 Feb 2013","4725.20","4753.90","4705.90","4713.25"
"NIFTY 500","06 Feb 2013","4751.15","4761.40","4734.55","4738.10"
"NIFTY 500","05 Feb 2013","4737.40","4743.50","4723.15","4733.60"
"NIFTY 500","04 Feb 2013","4790.70","4802.70","4755.55","4759.25"
"NIFTY 500","01 Feb 2013","4798.90","4814.50","4769.10","4775.90"
"NIFTY 500","31 Jan 2013","4791.50","4803.65","4784.20","4795.30"
"NIFTY 500","30 Jan 2013","4803.35","4814.75","4788.85","4797.15"
"NIFTY 500","29 Jan 2013","4812.70","4845.70","4790.90","4794.80"
"NIFTY 500","28 Jan 2013","4820.70","4831.05","4808.80","4818.30"
"NIFTY 500","25 Jan 2013","4766.90","4819.50","4757.85","4816.45"
"NIFTY 500","24 Jan 2013","4809.95","4820.95","4758.25","4763.85"
"NIFTY 500","23 Jan 2013","4824.95","4841.35","4786.80","4814.80"
"NIFTY 500","22 Jan 2013","4854.90","4872.70","4817.60","4822.35"
"NIFTY 500","21 Jan 2013","4855.90","4862.30","4845.40","4856.00"
"NIFTY 500","18 Jan 2013","4842.85","4861.70","4834.40","4844.05"
"NIFTY 500","17 Jan 2013","4807.30","4842.10","4803.80","4831.35"
"NIFTY 500","16 Jan 2013","4854.70","4860.75","4801.05","4807.55"
"NIFTY 500","15 Jan 2013","4844.35","4867.80","4833.60","4858.90"
"NIFTY 500","14 Jan 2013","4787.00","4843.60","4779.80","4836.70"
"NIFTY 500","11 Jan 2013","4833.60","4836.00","4770.55","4778.15"
"NIFTY 500","10 Jan 2013","4831.25","4843.15","4792.65","4809.20"
"NIFTY 500","09 Jan 2013","4840.65","4857.75","4808.05","4815.75"
"NIFTY 500","08 Jan 2013","4828.70","4840.75","4811.25","4837.95"
"NIFTY 500","07 Jan 2013","4858.65","4861.35","4823.90","4831.45"
"NIFTY 500","04 Jan 2013","4837.15","4846.35","4816.55","4844.00"
"NIFTY 500","03 Jan 2013","4831.65","4839.85","4814.80","4835.70"
"NIFTY 500","02 Jan 2013","4804.15","4830.90","4804.15","4818.90"
"NIFTY 500","01 Jan 2013","4761.80","4792.90","4761.80","4786.20"
"NIFTY 500","31 Dec 2012","4734.35","4748.65","4734.35","4743.45"
"NIFTY 500","28 Dec 2012","4716.05","4742.55","4715.10","4738.30"
"NIFTY 500","27 Dec 2012","4745.50","4746.90","4702.15","4706.35"
"NIFTY 500","26 Dec 2012","4700.25","4739.75","4700.25","4731.60"
"NIFTY 500","24 Dec 2012","4698.75","4705.00","4687.60","4695.00"
"NIFTY 500","21 Dec 2012","4730.35","4730.35","4683.10","4686.90"
"NIFTY 500","20 Dec 2012","4757.75","4757.75","4720.05","4746.40"
"NIFTY 500","19 Dec 2012","4739.65","4761.30","4739.65","4755.30"
