"Index Name","Date","Open","High","Low","Close"
"NIFTY LARGEMIDCAP 250","23 Feb 2016","-","-","-","3601.92"
"NIFTY LARGEMIDCAP 250","22 Feb 2016","-","-","-","3651.09"
"NIFTY LARGEMIDCAP 250","19 Feb 2016","-","-","-","3637.94"
"NIFTY LARGEMIDCAP 250","18 Feb 2016","-","-","-","3632.34"
"NIFTY LARGEMIDCAP 250","17 Feb 2016","-","-","-","3602.39"
"NIFTY LARGEMIDCAP 250","16 Feb 2016","-","-","-","3580.12"
"NIFTY LARGEMIDCAP 250","15 Feb 2016","-","-","-","3652.86"
"NIFTY LARGEMIDCAP 250","12 Feb 2016","-","-","-","3545.00"
"NIFTY LARGEMIDCAP 250","11 Feb 2016","-","-","-","3560.37"
"NIFTY LARGEMIDCAP 250","10 Feb 2016","-","-","-","3695.79"
"NIFTY LARGEMIDCAP 250","09 Feb 2016","-","-","-","3739.39"
"NIFTY LARGEMIDCAP 250","08 Feb 2016","-","-","-","3790.83"
"NIFTY LARGEMIDCAP 250","05 Feb 2016","-","-","-","3815.05"
"NIFTY LARGEMIDCAP 250","04 Feb 2016","-","-","-","3760.81"
"NIFTY LARGEMIDCAP 250","03 Feb 2016","-","-","-","3759.77"
"NIFTY LARGEMIDCAP 250","02 Feb 2016","-","-","-","3822.28"
"NIFTY LARGEMIDCAP 250","01 Feb 2016","-","-","-","3870.49"
"NIFTY LARGEMIDCAP 250","29 Jan 2016","-","-","-","3868.18"
"NIFTY LARGEMIDCAP 250","28 Jan 2016","-","-","-","3809.59"
"NIFTY LARGEMIDCAP 250","27 Jan 2016","-","-","-","3817.79"
"NIFTY LARGEMIDCAP 250","25 Jan 2016","-","-","-","3808.58"
"NIFTY LARGEMIDCAP 250","22 Jan 2016","-","-","-","3794.76"
"NIFTY LARGEMIDCAP 250","21 Jan 2016","-","-","-","3719.17"
"NIFTY LARGEMIDCAP 250","20 Jan 2016","-","-","-","3723.65"
"NIFTY LARGEMIDCAP 250","19 Jan 2016","-","-","-","3792.97"
"NIFTY LARGEMIDCAP 250","18 Jan 2016","-","-","-","3742.29"
"NIFTY LARGEMIDCAP 250","15 Jan 2016","-","-","-","3829.84"
"NIFTY LARGEMIDCAP 250","14 Jan 2016","-","-","-","3916.17"
