"Index Name","Date","Open","High","Low","Close"
"NIFTY MIDCAP 150","21 Feb 2014","-","-","-","2472.90"
"NIFTY MIDCAP 150","20 Feb 2014","-","-","-","2454.50"
"NIFTY MIDCAP 150","19 Feb 2014","-","-","-","2458.19"
"NIFTY MIDCAP 150","18 Feb 2014","-","-","-","2448.70"
"NIFTY MIDCAP 150","17 Feb 2014","-","-","-","2433.92"
"NIFTY MIDCAP 150","14 Feb 2014","-","-","-","2438.91"
"NIFTY MIDCAP 150","13 Feb 2014","-","-","-","2438.85"
"NIFTY MIDCAP 150","12 Feb 2014","-","-","-","2462.42"
"NIFTY MIDCAP 150","11 Feb 2014","-","-","-","2458.35"
"NIFTY MIDCAP 150","10 Feb 2014","-","-","-","2451.62"
"NIFTY MIDCAP 150","07 Feb 2014","-","-","-","2453.26"
"NIFTY MIDCAP 150","06 Feb 2014","-","-","-","2434.81"
"NIFTY MIDCAP 150","05 Feb 2014","-","-","-","2434.56"
"NIFTY MIDCAP 150","04 Feb 2014","-","-","-","2424.23"
"NIFTY MIDCAP 150","03 Feb 2014","-","-","-","2416.68"
"NIFTY MIDCAP 150","31 Jan 2014","-","-","-","2439.31"
"NIFTY MIDCAP 150","30 Jan 2014","-","-","-","2394.61"
"NIFTY MIDCAP 150","29 Jan 2014","-","-","-","2416.06"
"NIFTY MIDCAP 150","28 Jan 2014","-","-","-","2414.78"
"NIFTY MIDCAP 150","27 Jan 2014","-","-","-","2418.78"
"NIFTY MIDCAP 150","24 Jan 2014","-","-","-","2487.87"
"NIFTY MIDCAP 150","23 Jan 2014","-","-","-","2527.74"
"NIFTY MIDCAP 150","22 Jan 2014","-","-","-","2538.93"
"NIFTY MIDCAP 150","21 Jan 2014","-","-","-","2531.16"
"NIFTY MIDCAP 150","20 Jan 2014","-","-","-","2527.91"
"NIFTY MIDCAP 150","17 Jan 2014","-","-","-","2503.29"
"NIFTY MIDCAP 150","16 Jan 2014","-","-","-","2532.90"
"NIFTY MIDCAP 150","15 Jan 2014","-","-","-","2535.01"
"NIFTY MIDCAP 150","14 Jan 2014","-","-","-","2523.75"
"NIFTY MIDCAP 150","13 Jan 2014","-","-","-","2535.06"
"NIFTY MIDCAP 150","10 Jan 2014","-","-","-","2534.06"
"NIFTY MIDCAP 150","09 Jan 2014","-","-","-","2556.12"
"NIFTY MIDCAP 150","08 Jan 2014","-","-","-","2571.78"
"NIFTY MIDCAP 150","07 Jan 2014","-","-","-","2562.56"
"NIFTY MIDCAP 150","06 Jan 2014","-","-","-","2574.45"
"NIFTY MIDCAP 150","03 Jan 2014","-","-","-","2563.06"
"NIFTY MIDCAP 150","02 Jan 2014","-","-","-","2551.86"
"NIFTY MIDCAP 150","01 Jan 2014","-","-","-","2601.98"
"NIFTY MIDCAP 150","31 Dec 2013","-","-","-","2587.84"
"NIFTY MIDCAP 150","30 Dec 2013","-","-","-","2568.33"
"NIFTY MIDCAP 150","27 Dec 2013","-","-","-","2572.01"
"NIFTY MIDCAP 150","26 Dec 2013","-","-","-","2559.80"
"NIFTY MIDCAP 150","24 Dec 2013","-","-","-","2551.91"
"NIFTY MIDCAP 150","23 Dec 2013","-","-","-","2535.64"
"NIFTY MIDCAP 150","20 Dec 2013","-","-","-","2509.70"
"NIFTY MIDCAP 150","19 Dec 2013","-","-","-","2468.13"
"NIFTY MIDCAP 150","18 Dec 2013","-","-","-","2493.56"
"NIFTY MIDCAP 150","17 Dec 2013","-","-","-","2460.09"
"NIFTY MIDCAP 150","16 Dec 2013","-","-","-","2463.54"
"NIFTY MIDCAP 150","13 Dec 2013","-","-","-","2458.78"
"NIFTY MIDCAP 150","12 Dec 2013","-","-","-","2490.73"
"NIFTY MIDCAP 150","11 Dec 2013","-","-","-","2498.27"
"NIFTY MIDCAP 150","10 Dec 2013","-","-","-","2502.55"
"NIFTY MIDCAP 150","09 Dec 2013","-","-","-","2511.28"
"NIFTY MIDCAP 150","06 Dec 2013","-","-","-","2494.22"
"NIFTY MIDCAP 150","05 Dec 2013","-","-","-","2479.36"
"NIFTY MIDCAP 150","04 Dec 2013","-","-","-","2471.84"
"NIFTY MIDCAP 150","03 Dec 2013","-","-","-","2492.07"
"NIFTY MIDCAP 150","02 Dec 2013","-","-","-","2484.34"
"NIFTY MIDCAP 150","29 Nov 2013","-","-","-","2465.23"
"NIFTY MIDCAP 150","28 Nov 2013","-","-","-","2443.68"
