"Index Name","Date","Open","High","Low","Close"
"NIFTY500 MULTICAP 50:25:25","23 Feb 2023","9597.25","9611.65","9514.15","9571.85"
"NIFTY500 MULTICAP 50:25:25","22 Feb 2023","9676.35","9683.15","9566.10","9586.60"
"NIFTY500 MULTICAP 50:25:25","21 Feb 2023","9758.50","9763.35","9701.60","9712.55"
"NIFTY500 MULTICAP 50:25:25","20 Feb 2023","9785.30","9791.35","9726.05","9733.85"
"NIFTY500 MULTICAP 50:25:25","17 Feb 2023","9790.50","9818.15","9749.75","9767.40"
"NIFTY500 MULTICAP 50:25:25","16 Feb 2023","9808.35","9843.05","9802.65","9817.20"
"NIFTY500 MULTICAP 50:25:25","15 Feb 2023","9708.90","9779.80","9702.40","9771.25"
"NIFTY500 MULTICAP 50:25:25","14 Feb 2023","9732.55","9742.65","9679.85","9726.70"
"NIFTY500 MULTICAP 50:25:25","13 Feb 2023","9807.45","9811.15","9707.60","9715.40"
"NIFTY500 MULTICAP 50:25:25","10 Feb 2023","9778.95","9819.65","9771.15","9807.60"
"NIFTY500 MULTICAP 50:25:25","09 Feb 2023","9812.10","9817.30","9761.10","9799.90"
"NIFTY500 MULTICAP 50:25:25","08 Feb 2023","9738.75","9812.65","9735.05","9802.90"
"NIFTY500 MULTICAP 50:25:25","07 Feb 2023","9756.80","9767.30","9686.85","9722.15"
"NIFTY500 MULTICAP 50:25:25","06 Feb 2023","9731.25","9753.50","9698.40","9742.95"
"NIFTY500 MULTICAP 50:25:25","03 Feb 2023","9731.70","9744.70","9605.35","9736.50"
"NIFTY500 MULTICAP 50:25:25","02 Feb 2023","9637.55","9739.85","9603.45","9694.60"
"NIFTY500 MULTICAP 50:25:25","01 Feb 2023","9834.15","9903.70","9544.60","9686.60"
"NIFTY500 MULTICAP 50:25:25","31 Jan 2023","9682.60","9777.40","9622.20","9759.35"
"NIFTY500 MULTICAP 50:25:25","30 Jan 2023","9633.05","9730.00","9555.25","9650.85"
"NIFTY500 MULTICAP 50:25:25","27 Jan 2023","9846.95","9855.40","9593.95","9665.80"
"NIFTY500 MULTICAP 50:25:25","25 Jan 2023","9959.15","9961.25","9823.70","9844.95"
"NIFTY500 MULTICAP 50:25:25","24 Jan 2023","10018.15","10025.55","9961.10","9972.35"
"NIFTY500 MULTICAP 50:25:25","23 Jan 2023","10004.80","10005.45","9969.95","9992.05"
"NIFTY500 MULTICAP 50:25:25","20 Jan 2023","10029.55","10033.90","9961.05","9969.00"
"NIFTY500 MULTICAP 50:25:25","19 Jan 2023","10022.95","10041.85","9999.25","10021.20"
"NIFTY500 MULTICAP 50:25:25","18 Jan 2023","10025.70","10057.50","10000.75","10048.00"
"NIFTY500 MULTICAP 50:25:25","17 Jan 2023","9991.45","10019.40","9951.10","10010.85"
"NIFTY500 MULTICAP 50:25:25","16 Jan 2023","10030.60","10050.50","9963.10","9976.95"
"NIFTY500 MULTICAP 50:25:25","13 Jan 2023","9981.55","10012.65","9930.30","9998.95"
"NIFTY500 MULTICAP 50:25:25","12 Jan 2023","10001.20","10012.95","9919.80","9966.25"
"NIFTY500 MULTICAP 50:25:25","11 Jan 2023","10008.20","10029.65","9957.10","9977.45"
"NIFTY500 MULTICAP 50:25:25","10 Jan 2023","10073.95","10074.75","9950.70","9991.10"
"NIFTY500 MULTICAP 50:25:25","09 Jan 2023","10027.05","10076.25","10010.50","10059.55"
"NIFTY500 MULTICAP 50:25:25","06 Jan 2023","10049.85","10053.75","9929.85","9964.40"
"NIFTY500 MULTICAP 50:25:25","05 Jan 2023","10071.20","10081.20","9974.20","10038.60"
"NIFTY500 MULTICAP 50:25:25","04 Jan 2023","10145.85","10155.60","10020.50","10035.65"
"NIFTY500 MULTICAP 50:25:25","03 Jan 2023","10121.75","10148.65","10103.15","10137.00"
"NIFTY500 MULTICAP 50:25:25","02 Jan 2023","10082.30","10124.40","10050.40","10116.60"
"NIFTY500 MULTICAP 50:25:25","30 Dec 2022","10102.35","10133.20","10042.70","10058.75"
"NIFTY500 MULTICAP 50:25:25","29 Dec 2022","9986.20","10067.05","9942.50","10050.50"
"NIFTY500 MULTICAP 50:25:25","28 Dec 2022","9998.00","10043.15","9965.80","10023.90"
"NIFTY500 MULTICAP 50:25:25","27 Dec 2022","9977.90","10028.00","9916.35","10008.60"
"NIFTY500 MULTICAP 50:25:25","26 Dec 2022","9717.95","9946.90","9660.90","9919.60"
"NIFTY500 MULTICAP 50:25:25","23 Dec 2022","9927.70","9954.85","9694.90","9712.40"
"NIFTY500 MULTICAP 50:25:25","22 Dec 2022","10153.65","10181.95","9969.85","10016.40"
"NIFTY500 MULTICAP 50:25:25","21 Dec 2022","10292.40","10320.10","10084.25","10106.95"
"NIFTY500 MULTICAP 50:25:25","20 Dec 2022","10252.95","10265.75","10170.30","10258.30"
"NIFTY500 MULTICAP 50:25:25","19 Dec 2022","10234.70","10282.65","10190.60","10277.45"
"NIFTY500 MULTICAP 50:25:25","16 Dec 2022","10273.10","10328.50","10197.65","10213.90"
"NIFTY500 MULTICAP 50:25:25","15 Dec 2022","10405.95","10426.25","10298.85","10315.35"
"NIFTY500 MULTICAP 50:25:25","14 Dec 2022","10402.60","10427.65","10390.40","10414.40"
"NIFTY500 MULTICAP 50:25:25","13 Dec 2022","10344.95","10370.95","10322.50","10365.45"
"NIFTY500 MULTICAP 50:25:25","12 Dec 2022","10271.75","10320.05","10215.00","10314.75"
"NIFTY500 MULTICAP 50:25:25","09 Dec 2022","10401.65","10404.75","10232.60","10292.40"
"NIFTY500 MULTICAP 50:25:25","08 Dec 2022","10340.10","10367.50","10326.95","10362.70"
"NIFTY500 MULTICAP 50:25:25","07 Dec 2022","10375.50","10387.55","10306.55","10323.05"
"NIFTY500 MULTICAP 50:25:25","06 Dec 2022","10366.45","10385.15","10341.70","10364.50"
"NIFTY500 MULTICAP 50:25:25","05 Dec 2022","10413.90","10416.35","10350.10","10395.70"
