"Index Name","Date","Open","High","Low","Close"
"NIFTY SMALLCAP 250","22 Feb 2013","-","-","-","2429.64"
"NIFTY SMALLCAP 250","21 Feb 2013","-","-","-","2428.00"
"NIFTY SMALLCAP 250","20 Feb 2013","-","-","-","2467.39"
"NIFTY SMALLCAP 250","19 Feb 2013","-","-","-","2461.75"
"NIFTY SMALLCAP 250","18 Feb 2013","-","-","-","2434.34"
"NIFTY SMALLCAP 250","15 Feb 2013","-","-","-","2421.95"
"NIFTY SMALLCAP 250","14 Feb 2013","-","-","-","2432.26"
"NIFTY SMALLCAP 250","13 Feb 2013","-","-","-","2470.35"
"NIFTY SMALLCAP 250","12 Feb 2013","-","-","-","2479.08"
"NIFTY SMALLCAP 250","11 Feb 2013","-","-","-","2490.29"
"NIFTY SMALLCAP 250","08 Feb 2013","-","-","-","2492.75"
"NIFTY SMALLCAP 250","07 Feb 2013","-","-","-","2517.51"
"NIFTY SMALLCAP 250","06 Feb 2013","-","-","-","2548.28"
"NIFTY SMALLCAP 250","05 Feb 2013","-","-","-","2545.32"
"NIFTY SMALLCAP 250","04 Feb 2013","-","-","-","2561.32"
"NIFTY SMALLCAP 250","01 Feb 2013","-","-","-","2589.35"
"NIFTY SMALLCAP 250","31 Jan 2013","-","-","-","2593.97"
"NIFTY SMALLCAP 250","30 Jan 2013","-","-","-","2589.75"
"NIFTY SMALLCAP 250","29 Jan 2013","-","-","-","2590.47"
"NIFTY SMALLCAP 250","28 Jan 2013","-","-","-","2610.61"
"NIFTY SMALLCAP 250","25 Jan 2013","-","-","-","2606.81"
"NIFTY SMALLCAP 250","24 Jan 2013","-","-","-","2573.08"
"NIFTY SMALLCAP 250","23 Jan 2013","-","-","-","2639.01"
"NIFTY SMALLCAP 250","22 Jan 2013","-","-","-","2668.86"
"NIFTY SMALLCAP 250","21 Jan 2013","-","-","-","2695.63"
"NIFTY SMALLCAP 250","18 Jan 2013","-","-","-","2694.24"
"NIFTY SMALLCAP 250","17 Jan 2013","-","-","-","2697.47"
"NIFTY SMALLCAP 250","16 Jan 2013","-","-","-","2697.18"
"NIFTY SMALLCAP 250","15 Jan 2013","-","-","-","2736.31"
"NIFTY SMALLCAP 250","14 Jan 2013","-","-","-","2731.36"
"NIFTY SMALLCAP 250","11 Jan 2013","-","-","-","2706.31"
"NIFTY SMALLCAP 250","10 Jan 2013","-","-","-","2744.56"
"NIFTY SMALLCAP 250","09 Jan 2013","-","-","-","2753.32"
"NIFTY SMALLCAP 250","08 Jan 2013","-","-","-","2762.13"
"NIFTY SMALLCAP 250","07 Jan 2013","-","-","-","2769.03"
"NIFTY SMALLCAP 250","04 Jan 2013","-","-","-","2760.14"
"NIFTY SMALLCAP 250","03 Jan 2013","-","-","-","2746.85"
"NIFTY SMALLCAP 250","02 Jan 2013","-","-","-","2726.57"
"NIFTY SMALLCAP 250","01 Jan 2013","-","-","-","2704.58"
"NIFTY SMALLCAP 250","31 Dec 2012","-","-","-","2669.86"
"NIFTY SMALLCAP 250","28 Dec 2012","-","-","-","2657.10"
"NIFTY SMALLCAP 250","27 Dec 2012","-","-","-","2648.37"
"NIFTY SMALLCAP 250","26 Dec 2012","-","-","-","2663.92"
"NIFTY SMALLCAP 250","24 Dec 2012","-","-","-","2647.81"
"NIFTY SMALLCAP 250","21 Dec 2012","-","-","-","2635.73"
"NIFTY SMALLCAP 250","20 Dec 2012","-","-","-","2680.00"
"NIFTY SMALLCAP 250","19 Dec 2012","-","-","-","2689.47"
"NIFTY SMALLCAP 250","18 Dec 2012","-","-","-","2676.34"
"NIFTY SMALLCAP 250","17 Dec 2012","-","-","-","2654.83"
"NIFTY SMALLCAP 250","14 Dec 2012","-","-","-","2635.61"
"NIFTY SMALLCAP 250","13 Dec 2012","-","-","-","2626.04"
"NIFTY SMALLCAP 250","12 Dec 2012","-","-","-","2663.96"
"NIFTY SMALLCAP 250","11 Dec 2012","-","-","-","2658.98"
"NIFTY SMALLCAP 250","10 Dec 2012","-","-","-","2689.33"
"NIFTY SMALLCAP 250","07 Dec 2012","-","-","-","2672.49"
"NIFTY SMALLCAP 250","06 Dec 2012","-","-","-","2671.88"
"NIFTY SMALLCAP 250","05 Dec 2012","-","-","-","2651.77"
"NIFTY SMALLCAP 250","04 Dec 2012","-","-","-","2640.84"
"NIFTY SMALLCAP 250","03 Dec 2012","-","-","-","2639.86"
"NIFTY SMALLCAP 250","30 Nov 2012","-","-","-","2606.58"
"NIFTY SMALLCAP 250","29 Nov 2012","-","-","-","2573.15"
"NIFTY SMALLCAP 250","27 Nov 2012","-","-","-","2549.88"
"NIFTY SMALLCAP 250","26 Nov 2012","-","-","-","2523.01"
"NIFTY SMALLCAP 250","23 Nov 2012","-","-","-","2502.38"
"NIFTY SMALLCAP 250","22 Nov 2012","-","-","-","2494.02"
"NIFTY SMALLCAP 250","21 Nov 2012","-","-","-","2486.46"
"NIFTY SMALLCAP 250","20 Nov 2012","-","-","-","2480.84"
"NIFTY SMALLCAP 250","19 Nov 2012","-","-","-","2504.32"
"NIFTY SMALLCAP 250","16 Nov 2012","-","-","-","2525.38"
"NIFTY SMALLCAP 250","15 Nov 2012","-","-","-","2552.74"
"NIFTY SMALLCAP 250","13 Nov 2012","-","-","-","2544.42"
"NIFTY SMALLCAP 250","12 Nov 2012","-","-","-","2521.39"
"NIFTY SMALLCAP 250","09 Nov 2012","-","-","-","2509.70"
"NIFTY SMALLCAP 250","08 Nov 2012","-","-","-","2532.34"
"NIFTY SMALLCAP 250","07 Nov 2012","-","-","-","2533.18"
"NIFTY SMALLCAP 250","06 Nov 2012","-","-","-","2516.87"
"NIFTY SMALLCAP 250","05 Nov 2012","-","-","-","2495.82"
"NIFTY SMALLCAP 250","02 Nov 2012","-","-","-","2501.84"
"NIFTY SMALLCAP 250","01 Nov 2012","-","-","-","2493.93"
"NIFTY SMALLCAP 250","31 Oct 2012","-","-","-","2477.30"
"NIFTY SMALLCAP 250","30 Oct 2012","-","-","-","2458.98"
"NIFTY SMALLCAP 250","29 Oct 2012","-","-","-","2487.02"
"NIFTY SMALLCAP 250","26 Oct 2012","-","-","-","2492.71"
"NIFTY SMALLCAP 250","25 Oct 2012","-","-","-","2523.62"
"NIFTY SMALLCAP 250","23 Oct 2012","-","-","-","2522.62"
"NIFTY SMALLCAP 250","22 Oct 2012","-","-","-","2527.00"
"NIFTY SMALLCAP 250","19 Oct 2012","-","-","-","2531.36"
"NIFTY SMALLCAP 250","18 Oct 2012","-","-","-","2547.60"
"NIFTY SMALLCAP 250","17 Oct 2012","-","-","-","2517.30"
"NIFTY SMALLCAP 250","16 Oct 2012","-","-","-","2514.99"
"NIFTY SMALLCAP 250","15 Oct 2012","-","-","-","2530.72"
"NIFTY SMALLCAP 250","12 Oct 2012","-","-","-","2523.18"
"NIFTY SMALLCAP 250","11 Oct 2012","-","-","-","2523.62"
"NIFTY SMALLCAP 250","10 Oct 2012","-","-","-","2496.13"
"NIFTY SMALLCAP 250","09 Oct 2012","-","-","-","2538.94"
"NIFTY SMALLCAP 250","08 Oct 2012","-","-","-","2525.33"
"NIFTY SMALLCAP 250","05 Oct 2012","-","-","-","2540.10"
"NIFTY SMALLCAP 250","04 Oct 2012","-","-","-","2562.19"
"NIFTY SMALLCAP 250","03 Oct 2012","-","-","-","2547.60"
"NIFTY SMALLCAP 250","01 Oct 2012","-","-","-","2523.78"
"NIFTY SMALLCAP 250","28 Sep 2012","-","-","-","2489.23"
"NIFTY SMALLCAP 250","27 Sep 2012","-","-","-","2461.84"
"NIFTY SMALLCAP 250","26 Sep 2012","-","-","-","2455.14"
"NIFTY SMALLCAP 250","25 Sep 2012","-","-","-","2447.80"
